Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2016-06-10,108.43,109.38,108.03,108.79,2050801.0,0.0,1.0,105.22304757211,106.14495013775999,104.83487807079,105.57240012330999,2050801.0
2016-06-09,107.4,109.1,107.1,109.07,2009633.0,0.0,1.0,104.22351110620001,105.87323148683001,103.9323839802,105.84411877423,2009633.0
2016-06-08,107.84,108.31,107.23,107.56,1225741.0,0.0,1.0,104.65049755765999,105.10659672170999,104.05853906813,104.37877890673,1225741.0
2016-06-07,107.27,108.27,106.939,107.87,1299737.0,0.0,1.0,104.09735601826,105.06777977158,103.77614575591998,104.67961027025,1299737.0
2016-06-06,107.11,107.66,106.6605,107.2,1164508.0,0.0,1.0,103.94208821773,104.47582128206,103.50588274062001,104.02942635553002,1164508.0
2016-06-03,106.96,107.29,106.41,106.97,1438262.0,0.0,1.0,103.79652465474001,104.11676449333,103.26279159041,103.80622889227,1438262.0
2016-06-02,105.35,106.57,104.93,106.56,1338643.0,0.0,1.0,102.23414241190001,103.41805939094,101.82656443549999,103.40835515341,1338643.0
2016-06-01,105.46,105.85,104.87,105.47,1133682.0,0.0,1.0,102.34088902476,102.71935428855998,101.76833901030001,102.35059326229,1133682.0
2016-05-31,105.96,106.3,105.25,105.78,2166227.0,0.0,1.0,102.82610090142,103.15604497755,102.13710003656999,102.65142462581998,2166227.0
2016-05-27,105.44,106.54,105.36,106.06,1134727.0,0.0,1.0,102.3214805497,103.38894667833999,102.24384664943001,102.92314327675,1134727.0
2016-05-26,106.03,106.24,104.91,105.3,1544666.0,0.0,1.0,102.89403056415001,103.09781955235,101.80715596044,102.18562122423,1544666.0
2016-05-25,106.0,106.47,105.52,106.17,1311783.0,0.0,1.0,102.86491785155,103.32101701560998,102.39911444996001,103.02988988962,1311783.0
2016-05-24,104.45,105.35,104.2,105.3,2152995.0,0.0,1.0,101.36076103391,102.23414241190001,101.11815509558001,102.18562122423,2152995.0
2016-05-23,104.28,104.44,103.63,104.16,1069179.0,0.0,1.0,101.19578899585,101.35105679638,100.56501355619,101.07933814545,1069179.0
2016-05-20,104.28,104.43,103.6301,104.01,1632898.0,0.0,1.0,101.19578899585,101.34135255885,100.56511059857,100.93377458245001,1632898.0
2016-05-19,103.5,104.09,103.11,103.77,1146704.0,0.0,1.0,100.43885846826001,101.01140848272,100.06039320446999,100.70087288166,1146704.0
2016-05-18,105.18,105.44,103.41,104.55,1691045.0,0.0,1.0,102.06917037383002,102.3214805497,100.35152033045999,101.45780340924,1691045.0
2016-05-17,106.65,106.65,104.82,105.36,1213711.0,0.0,1.0,103.49569329121,103.49569329121,101.71981782264,102.24384664943001,1213711.0
2016-05-16,105.75,106.72,105.7,106.48,1620907.0,0.0,1.0,102.62231191321999,103.56362295394001,102.57379072556,103.33072125314001,1620907.0
2016-05-13,106.34,106.6,105.37,105.7,1272239.0,0.0,1.0,103.19486192768,103.44717210354,102.25355088695999,102.57379072556,1272239.0
2016-05-12,106.26,106.78,105.59,106.56,1185157.0,0.0,1.0,103.11722802741,103.62184837913999,102.46704411269,103.40835515341,1185157.0
2016-05-11,106.93,107.13,105.7,105.73,1025755.0,0.0,1.0,103.76741194214,103.96149669280001,102.57379072556,102.60290343816,1025755.0
2016-05-10,106.87,107.24,106.5501,107.18,1156218.0,0.0,1.0,103.70918651694001,104.06824330567,103.39874795825001,104.01001788046999,1156218.0
2016-05-09,106.63,107.16,106.235,106.65,1169540.0,0.0,1.0,103.47628481614001,103.99060940540001,103.09296743358,103.49569329121,1169540.0
2016-05-06,106.06,106.68,105.24,106.57,1313862.0,0.0,1.0,102.92314327675,103.52480600381,102.12739579903,103.41805939094,1313862.0
2016-05-05,105.61,106.72,105.61,106.31,2148447.0,0.0,1.0,102.48645258775998,103.56362295394001,102.48645258775998,103.16574921508001,2148447.0
2016-05-04,103.65,105.73,103.26,105.51,1927484.0,0.0,1.0,100.58442203125999,102.60290343816,100.20595676747,102.38941021243,1927484.0
2016-05-03,104.42,104.99,103.15,104.16,1976795.0,0.0,1.0,101.33164832131,101.8847898607,100.09921015459999,101.07933814545,1976795.0
2016-05-02,105.0,105.77,104.5,105.51,2100754.0,0.0,1.0,101.89449409823999,102.64172038829001,101.40928222158001,102.38941021243,2100754.0
2016-04-29,103.95,105.25,102.29,104.88,2678505.0,0.0,1.0,100.87554915725,102.13710003656999,99.26464572674801,101.77804324784,2678505.0
2016-04-28,103.81,105.34,103.52,104.13,2402276.0,0.0,1.0,100.73968983179,102.22443817435999,100.45826694333,101.05022543285,2402276.0
2016-04-27,104.53,105.28,103.8,104.49,1613465.0,0.0,1.0,101.43839493418001,102.16621274916001,100.72998559426,101.39957798404,1613465.0
2016-04-26,104.45,105.05,104.38,104.77,1257859.0,0.0,1.0,101.36076103391,101.9430152859,101.29283137118,101.67129663496999,1257859.0
