,Date,Predicted Close,Actual Close,% error
65,2017-10-11,91.55,91.46,0.1
66,2017-10-12,91.39,92.15,-0.82
67,2017-10-13,92.09,93.04,-1.02
68,2017-10-16,93.0,93.14,-0.15
69,2017-10-17,93.1,92.8,0.32
70,2017-10-18,92.75,92.77,-0.02
71,2017-10-19,92.72,91.59,1.24
72,2017-10-20,91.52,88.25,3.71
73,2017-10-23,88.12,87.3,0.94
74,2017-10-24,87.16,86.98,0.2
75,2017-10-25,86.83,86.84,-0.01
76,2017-10-26,86.69,87.5,-0.93
77,2017-10-27,87.36,87.04,0.37
78,2017-10-30,86.89,86.27,0.72
79,2017-10-31,86.11,86.34,-0.27
80,2017-11-01,86.18,86.89,-0.82
81,2017-11-02,86.74,86.51,0.27
82,2017-11-03,86.35,86.58,-0.26
83,2017-11-06,86.42,86.05,0.44
84,2017-11-07,85.89,86.98,-1.26
85,2017-11-09,86.83,87.78,-1.08
86,2017-11-10,87.65,88.16,-0.58
87,2017-11-13,88.03,89.0,-1.09
88,2017-11-14,88.89,88.87,0.02
89,2017-11-15,88.76,88.23,0.6
90,2017-11-16,88.1,89.25,-1.28
91,2017-11-17,89.14,88.43,0.81
92,2017-11-20,88.31,88.27,0.04
93,2017-11-21,88.15,88.72,-0.65
94,2017-11-22,88.6,88.33,0.31
95,2017-11-24,88.21,88.45,-0.28
96,2017-11-27,88.33,88.96,-0.71
97,2017-11-28,88.85,89.4,-0.62
98,2017-11-29,89.3,89.38,-0.09
99,2017-11-30,89.27,89.99,-0.79
100,2017-12-01,89.9,90.36,-0.51
101,2017-12-04,90.27,91.41,-1.25
102,2017-12-05,91.34,91.4,-0.07
103,2017-12-06,91.33,91.25,0.09
104,2017-12-07,91.18,90.1,1.2
105,2017-12-08,90.01,90.37,-0.4
106,2017-12-11,90.28,90.23,0.06
107,2017-12-12,90.14,89.85,0.32
108,2017-12-13,89.75,90.88,-1.24
109,2017-12-14,90.8,91.0,-0.22
110,2017-12-15,90.92,91.89,-1.05
111,2017-12-18,91.83,91.88,-0.06
112,2017-12-19,91.82,91.68,0.15
113,2017-12-20,91.61,91.53,0.09
114,2017-12-21,91.46,91.67,-0.23
115,2017-12-22,91.6,92.13,-0.57
116,2017-12-26,92.07,92.48,-0.44
117,2017-12-27,92.43,92.1,0.35
118,2017-12-28,92.04,92.07,-0.03
119,2017-12-29,92.01,91.88,0.14
120,2018-01-02,91.82,90.65,1.29
121,2018-01-03,90.57,90.54,0.03
122,2018-01-04,90.45,91.18,-0.8
123,2018-01-05,91.11,91.24,-0.15
124,2018-01-08,91.17,91.72,-0.6
125,2018-01-09,91.65,91.05,0.66
126,2018-01-10,90.97,90.47,0.56
127,2018-01-11,90.38,90.15,0.26
128,2018-01-12,90.06,89.61,0.5
129,2018-01-16,89.51,90.22,-0.79
130,2018-01-17,90.13,91.2,-1.17
131,2018-01-18,91.13,90.18,1.05
132,2018-01-19,90.09,91.07,-1.08
133,2018-01-22,90.99,91.89,-0.98
134,2018-01-23,91.83,89.05,3.12
135,2018-01-24,88.94,88.31,0.71
136,2018-01-25,88.19,88.34,-0.17
137,2018-01-26,88.22,87.73,0.55
138,2018-01-29,87.6,86.86,0.85
139,2018-01-30,86.71,86.95,-0.28
140,2018-01-31,86.8,86.34,0.53
141,2018-02-01,86.18,85.85,0.38
142,2018-02-02,85.68,84.25,1.7
143,2018-02-05,84.05,81.06,3.69
144,2018-02-06,80.81,82.38,-1.91
145,2018-02-07,82.15,81.84,0.38
146,2018-02-08,81.6,80.22,1.72
147,2018-02-09,79.95,79.92,0.04
148,2018-02-12,79.65,81.33,-2.07
149,2018-02-13,81.08,81.5,-0.51
150,2018-02-14,81.26,80.68,0.71
151,2018-02-15,80.42,82.41,-2.41
152,2018-02-16,82.18,82.6,-0.51
153,2018-02-20,82.37,81.34,1.27
154,2018-02-21,81.09,80.24,1.06
155,2018-02-22,79.98,80.84,-1.07
156,2018-02-23,80.58,81.05,-0.57
157,2018-02-26,80.8,81.63,-1.02
158,2018-02-27,81.39,80.54,1.05
159,2018-02-28,80.28,78.52,2.24
160,2018-03-01,78.23,78.7,-0.6
161,2018-03-02,78.41,79.5,-1.37
162,2018-03-05,79.22,80.29,-1.33
163,2018-03-06,80.03,80.02,0.01
164,2018-03-07,79.75,79.16,0.75
165,2018-03-08,78.88,79.97,-1.36
166,2018-03-09,79.7,80.29,-0.73
167,2018-03-12,80.03,79.86,0.21
168,2018-03-13,79.59,79.72,-0.16
169,2018-03-14,79.45,79.0,0.57
170,2018-03-15,78.72,78.67,0.06
171,2018-03-16,78.38,78.97,-0.74
172,2018-03-19,78.69,78.66,0.03
173,2018-03-20,78.37,78.31,0.08
174,2018-03-21,78.02,77.04,1.27
175,2018-03-22,76.73,76.41,0.42
176,2018-03-23,76.09,75.91,0.24
177,2018-03-26,75.59,76.41,-1.08
178,2018-03-27,76.09,77.79,-2.18
